URL	Start Time	End Time	RTT (ms)	Status Code	Content Size (bytes)	Throughput (bytes/ms)
http://10.10.200.1/index53.html	2024-09-07 10:45:36.360364	2024-09-07 10:45:57.387337	21026.973	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:36.350929	2024-09-07 10:45:57.387337	21036.408000000003	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:36.354774	2024-09-07 10:45:57.387337	21032.563	200	0	0.0
http://10.10.200.1/index14.html	2024-09-07 10:45:36.360364	2024-09-07 10:45:57.395756	21035.392	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:37.367926	2024-09-07 10:45:58.428336	21060.41	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:37.370930	2024-09-07 10:45:58.428336	21057.406	200	0	0.0
http://10.10.200.1/index2.html	2024-09-07 10:45:37.373033	2024-09-07 10:45:58.428336	21055.303	200	0	0.0
http://10.10.200.1/index7.html	2024-09-07 10:45:37.396244	2024-09-07 10:45:58.428336	21032.091999999997	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:37.375698	2024-09-07 10:45:58.428336	21052.638000000003	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:37.386742	2024-09-07 10:45:58.428336	21041.594	200	0	0.0
http://10.10.200.1/index2.html	2024-09-07 10:45:37.393904	2024-09-07 10:45:58.428336	21034.432	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:37.384143	2024-09-07 10:45:58.428336	21044.193	200	0	0.0
http://10.10.200.1/index13.html	2024-09-07 10:45:37.388116	2024-09-07 10:45:58.428336	21040.22	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:37.382464	2024-09-07 10:45:58.428336	21045.872	200	0	0.0
http://10.10.200.1/index4.html	2024-09-07 10:45:38.426588	2024-09-07 10:45:59.448655	21022.067	200	0	0.0
http://10.10.200.1/index2.html	2024-09-07 10:45:38.413930	2024-09-07 10:45:59.448655	21034.725000000002	200	0	0.0
http://10.10.200.1/index25.html	2024-09-07 10:45:38.411144	2024-09-07 10:45:59.450080	21038.935999999998	200	0	0.0
http://10.10.200.1/index4.html	2024-09-07 10:45:38.419108	2024-09-07 10:45:59.450080	21030.971999999998	200	0	0.0
http://10.10.200.1/index5.html	2024-09-07 10:45:38.403940	2024-09-07 10:45:59.451452	21047.512000000002	200	0	0.0
